iteration,test_acc,actions
0,0.3095141185448995,"[[[4.28323355e-03 0.00000000e+00 0.00000000e+00 1.50049319e-02
   2.05412507e-03 0.00000000e+00 0.00000000e+00 5.79219684e-03
   9.87964496e-03 0.00000000e+00]
  [2.52697454e-03 8.09781998e-03 6.10464159e-03 0.00000000e+00
   0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
   1.37020298e-03 0.00000000e+00]
  [1.50381215e-03 7.70926895e-03 0.00000000e+00 2.18120730e-03
   7.70124886e-03 5.02341520e-03 1.10273678e-02 7.86051992e-03
   1.12694288e-02 7.06464425e-03]
  [0.00000000e+00 4.51190455e-04 1.10554779e-02 3.88661725e-03
   0.00000000e+00 4.58996138e-03 6.92131091e-03 6.59100292e-03
   3.98898590e-03 6.21023774e-03]
  [0.00000000e+00 1.56041011e-02 3.62505903e-03 0.00000000e+00
   6.60189893e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
   6.81068283e-03 1.40490872e-03]
  [2.80588353e-03 8.83604027e-03 0.00000000e+00 0.00000000e+00
   0.00000000e+00 0.00000000e+00 2.19300925e-03 0.00000000e+00
   0.00000000e+00 7.27377832e-04]
  [4.07180469e-03 1.07469200e-03 5.01367636e-03 3.17072822e-03
   0.00000000e+00 2.72615906e-03 1.23881828e-03 2.76509789e-04
   6.17722282e-04 0.00000000e+00]
  [4.54446627e-03 3.65998619e-03 0.00000000e+00 1.95502676e-03
   3.26535385e-03 1.91933697e-03 2.22543534e-03 2.10525934e-03
   3.59495357e-03 3.83423711e-03]
  [0.00000000e+00 0.00000000e+00 8.98088422e-03 7.71418167e-03
   4.02197987e-03 6.36075111e-03 0.00000000e+00 6.49024732e-05
   0.00000000e+00 0.00000000e+00]
  [3.50825209e-03 4.61106095e-03 0.00000000e+00 1.71888270e-03
   4.06183489e-03 0.00000000e+00 0.00000000e+00 1.56687840e-03
   1.64745608e-04 1.23111233e-02]]]"
1,0.3795726278300687,"[[[0.02687321 0.05013837 0.         0.         0.         0.
   0.04965716 0.         0.15409948 0.07756896]
  [0.09312576 0.         0.         0.         0.         0.
   0.01070849 0.         0.         0.        ]
  [0.04678141 0.         0.         0.         0.14272326 0.
   0.17924467 0.         0.04975785 0.        ]
  [0.00785989 0.04814777 0.10234921 0.         0.         0.
   0.         0.09390122 0.00650318 0.04086878]
  [0.         0.02884633 0.09729305 0.         0.07780366 0.
   0.         0.         0.         0.01918716]
  [0.         0.03436954 0.         0.06052333 0.         0.0381934
   0.06274278 0.         0.0568121  0.04789141]
  [0.         0.         0.0073018  0.         0.         0.
   0.         0.10240295 0.01321159 0.        ]
  [0.01316897 0.05049783 0.         0.         0.         0.
   0.07289989 0.03141998 0.07974721 0.        ]
  [0.15776305 0.         0.00285379 0.06348516 0.18950488 0.
   0.07399825 0.00251005 0.         0.        ]
  [0.10704772 0.16134848 0.07014236 0.         0.08893752 0.
   0.         0.         0.00302094 0.04226492]]]"
2,0.36787077079623504,"[[[0.03103694 0.05320147 0.         0.         0.         0.
   0.02652953 0.         0.10347583 0.08085427]
  [0.03238995 0.         0.         0.         0.0110942  0.0153681
   0.03230827 0.         0.01075156 0.02239328]
  [0.01064793 0.         0.         0.         0.10458127 0.
   0.12735513 0.         0.02953219 0.        ]
  [0.02248265 0.03513051 0.12522249 0.         0.         0.
   0.         0.08316792 0.         0.03286673]
  [0.         0.         0.09599906 0.         0.08175218 0.
   0.00367675 0.         0.         0.02611797]
  [0.         0.01024961 0.         0.03266015 0.         0.02837622
   0.         0.         0.01945329 0.08845202]
  [0.02593679 0.         0.0521699  0.         0.         0.
   0.00102767 0.03881253 0.01604477 0.        ]
  [0.         0.06619421 0.         0.         0.         0.
   0.0306754  0.02590377 0.06496458 0.        ]
  [0.12821293 0.         0.         0.0276263  0.18217653 0.
   0.02034983 0.         0.         0.        ]
  [0.06678004 0.16560628 0.0505558  0.00031516 0.07448056 0.
   0.         0.         0.0049098  0.02704448]]]"
3,0.414423810735182,"[[[0.02127552 0.06273752 0.         0.         0.         0.
   0.03621724 0.         0.09611031 0.10187884]
  [0.02000633 0.         0.         0.         0.02876024 0.00969805
   0.03446971 0.         0.         0.02338978]
  [0.         0.         0.         0.         0.09136479 0.
   0.11936913 0.         0.04215275 0.        ]
  [0.02172113 0.01714455 0.13886134 0.         0.01204657 0.
   0.         0.08284892 0.         0.05404906]
  [0.         0.         0.09748657 0.         0.07108492 0.
   0.         0.         0.         0.02366352]
  [0.         0.01265435 0.         0.02980927 0.         0.0161286
   0.         0.         0.03563384 0.09131488]
  [0.03722192 0.         0.06036211 0.         0.         0.
   0.         0.02570861 0.04310951 0.        ]
  [0.         0.05985253 0.         0.         0.         0.
   0.03179394 0.02464323 0.06986241 0.        ]
  [0.11956    0.00155984 0.         0.02698275 0.20071593 0.
   0.02694312 0.         0.         0.        ]
  [0.05565954 0.16289477 0.03618273 0.00060332 0.07036694 0.
   0.         0.         0.01993081 0.04031078]]]"
4,0.4187229712541338,"[[[0.0173155  0.06977943 0.         0.         0.         0.
   0.01216431 0.         0.08514245 0.0932297 ]
  [0.02100234 0.         0.         0.         0.02540835 0.0208274
   0.05026308 0.         0.0151299  0.03836124]
  [0.01143291 0.         0.         0.         0.10498692 0.
   0.11464942 0.         0.02879761 0.        ]
  [0.03459716 0.03088685 0.16256048 0.         0.00414556 0.00485047
   0.         0.09062252 0.         0.03233416]
  [0.00349607 0.         0.0903553  0.         0.0918118  0.
   0.00139603 0.         0.         0.04270117]
  [0.00332411 0.         0.         0.0413269  0.         0.01511346
   0.         0.         0.00419517 0.09100362]
  [0.0430513  0.         0.07126634 0.         0.         0.
   0.00721276 0.04613825 0.01114076 0.        ]
  [0.         0.09388494 0.         0.         0.         0.
   0.02128038 0.02092938 0.07316312 0.        ]
  [0.13053323 0.00208684 0.         0.01532965 0.1872953  0.
   0.01105432 0.         0.         0.        ]
  [0.0610377  0.17939889 0.05859368 0.0040277  0.06573038 0.
   0.         0.         0.01403916 0.02008742]]]"
5,0.4702874586619181,"[[[0.0154912  0.06520646 0.         0.         0.         0.
   0.02685205 0.         0.1000679  0.10630478]
  [0.03574007 0.         0.         0.         0.02280253 0.00775996
   0.05023563 0.         0.         0.03293242]
  [0.00574227 0.         0.         0.         0.10732695 0.
   0.1097268  0.         0.04150865 0.        ]
  [0.02666525 0.01876048 0.1650037  0.         0.00725728 0.01463325
   0.         0.1009195  0.         0.03721401]
  [0.         0.         0.08462805 0.         0.07644967 0.
   0.         0.         0.         0.04876986]
  [0.00160624 0.00448061 0.         0.04915203 0.         0.01981653
   0.         0.         0.03335834 0.08412188]
  [0.04470078 0.         0.0572596  0.         0.         0.
   0.00177569 0.05274482 0.02071511 0.        ]
  [0.         0.08600542 0.         0.         0.         0.
   0.01289764 0.02134114 0.06426148 0.        ]
  [0.11855129 0.         0.00566545 0.02782945 0.18001637 0.
   0.02650808 0.         0.         0.        ]
  [0.06645518 0.16115883 0.06690195 0.         0.04907452 0.
   0.         0.         0.02139915 0.02781706]]]"
6,0.46499618417705424,"[[[0.00701877 0.06737086 0.         0.         0.         0.
   0.03445381 0.         0.09826099 0.11289962]
  [0.03140006 0.         0.         0.         0.02943684 0.00843859
   0.0561162  0.         0.         0.02919996]
  [0.00246532 0.         0.         0.         0.10555568 0.
   0.10275826 0.         0.04762437 0.        ]
  [0.02135361 0.01298045 0.16932422 0.         0.02056325 0.01614514
   0.         0.10001525 0.         0.04726815]
  [0.         0.         0.08436338 0.         0.06654511 0.
   0.         0.         0.         0.04417599]
  [0.00265926 0.01116576 0.         0.05015386 0.         0.0100877
   0.         0.         0.04104888 0.08469994]
  [0.04315579 0.         0.05878981 0.         0.         0.
   0.00134519 0.04682245 0.03265652 0.        ]
  [0.         0.07707521 0.         0.         0.         0.
   0.01631136 0.01328248 0.06292637 0.00516962]
  [0.11639124 0.00248987 0.00902283 0.02631653 0.19577152 0.
   0.03250474 0.         0.         0.        ]
  [0.05514535 0.15582101 0.06003679 0.00096278 0.04480977 0.
   0.         0.         0.03635781 0.0436468 ]]]"
7,0.45868735690663953,"[[[0.00745066 0.0606848  0.         0.         0.         0.
   0.02844142 0.         0.08593214 0.1008644 ]
  [0.02711282 0.         0.         0.         0.0221943  0.00990548
   0.05241535 0.         0.         0.02716535]
  [0.         0.         0.         0.         0.09391826 0.
   0.09062365 0.         0.04126514 0.        ]
  [0.02281101 0.01263785 0.15384366 0.         0.02262431 0.01177792
   0.         0.08718331 0.         0.0387974 ]
  [0.         0.         0.07591555 0.         0.05930605 0.
   0.         0.         0.         0.0397015 ]
  [0.         0.0118768  0.         0.04163534 0.         0.00571212
   0.         0.         0.03740346 0.0824009 ]
  [0.04191679 0.         0.05541237 0.         0.         0.
   0.003611   0.03839415 0.02675252 0.        ]
  [0.         0.06813391 0.         0.         0.         0.
   0.01412153 0.00962267 0.05363344 0.0032753 ]
  [0.10457132 0.00165844 0.00643605 0.02108028 0.17895007 0.
   0.01868143 0.         0.         0.        ]
  [0.04951953 0.14047435 0.04811195 0.         0.03912004 0.
   0.         0.         0.03239679 0.04262369]]]"
8,0.44894428898499106,"[[[0.01282131 0.06312532 0.         0.         0.         0.
   0.03174105 0.         0.09316292 0.11130357]
  [0.03700904 0.         0.         0.         0.02241791 0.0061305
   0.05385862 0.         0.         0.03013538]
  [0.         0.         0.         0.         0.0985009  0.
   0.09478317 0.         0.04555708 0.        ]
  [0.02591997 0.01304423 0.16511382 0.         0.01705307 0.01686021
   0.         0.09690381 0.         0.03950039]
  [0.         0.         0.07707828 0.         0.06601685 0.
   0.         0.         0.         0.04882281]
  [0.00131296 0.01192009 0.         0.05032919 0.         0.01303729
   0.         0.         0.04444848 0.08440523]
  [0.04710713 0.         0.05458288 0.         0.         0.
   0.         0.04739791 0.02271169 0.        ]
  [0.         0.07792167 0.         0.         0.         0.
   0.00691304 0.01539119 0.05793745 0.00569118]
  [0.10737263 0.         0.00822021 0.02377266 0.17746264 0.
   0.02148526 0.         0.         0.        ]
  [0.0595089  0.14651234 0.05882189 0.         0.03745679 0.
   0.         0.         0.02805676 0.03723374]]]"
9,0.43027219537013484,"[[[0.01363832 0.05052416 0.         0.         0.         0.
   0.02736947 0.         0.0898098  0.08880532]
  [0.0186322  0.         0.         0.         0.01997972 0.00986155
   0.04595769 0.         0.         0.03274681]
  [0.         0.         0.         0.         0.09000741 0.
   0.08925755 0.         0.0351497  0.        ]
  [0.01687768 0.01307543 0.1341406  0.         0.01987952 0.
   0.         0.08360219 0.         0.03370458]
  [0.         0.         0.07707696 0.         0.05462848 0.
   0.         0.         0.         0.03270921]
  [0.         0.01610969 0.         0.02954268 0.         0.01443064
   0.         0.         0.03284885 0.08461056]
  [0.03593116 0.         0.05199946 0.         0.         0.
   0.00669309 0.02302843 0.02900639 0.        ]
  [0.         0.05949987 0.         0.         0.         0.
   0.01003332 0.0130498  0.04403748 0.        ]
  [0.09677557 0.00280601 0.00361425 0.02339804 0.16730489 0.
   0.01734432 0.         0.         0.        ]
  [0.04526844 0.13319167 0.04609906 0.         0.04077638 0.
   0.         0.         0.02613802 0.03556772]]]"
