Method_name,Model_name,Dataset_name,Num_agents,Graph_connectivity,Labels_per_agent,Partition_name,Data_size,Seed
DPFL,SVM,FMNIST,10,100,1,by_labels,0.02,42
DSpodFL,SVM,FMNIST,10,100,1,by_labels,0.02,42
PureLocal,SVM,FMNIST,10,100,1,by_labels,0.02,42
DPFL,SVM,FMNIST,10,100,1,by_labels,0.05,42
DSpodFL,SVM,FMNIST,10,100,1,by_labels,0.05,42
PureLocal,SVM,FMNIST,10,100,1,by_labels,0.05,42
DPFL,SVM,FMNIST,10,100,1,by_labels,0.1,42
DSpodFL,SVM,FMNIST,10,100,1,by_labels,0.1,42
PureLocal,SVM,FMNIST,10,100,1,by_labels,0.1,42
DPFL,SVM,FMNIST,10,100,2,by_labels,0.02,42
DSpodFL,SVM,FMNIST,10,100,2,by_labels,0.02,42
PureLocal,SVM,FMNIST,10,100,2,by_labels,0.02,42
DPFL,SVM,FMNIST,10,100,2,by_labels,0.05,42
DSpodFL,SVM,FMNIST,10,100,2,by_labels,0.05,42
PureLocal,SVM,FMNIST,10,100,2,by_labels,0.05,42
DPFL,SVM,FMNIST,10,100,2,by_labels,0.1,42
DSpodFL,SVM,FMNIST,10,100,2,by_labels,0.1,42
PureLocal,SVM,FMNIST,10,100,2,by_labels,0.1,42
DPFL,SVM,FMNIST,10,100,8,by_labels,0.02,42
DSpodFL,SVM,FMNIST,10,100,8,by_labels,0.02,42
PureLocal,SVM,FMNIST,10,100,8,by_labels,0.02,42
DPFL,SVM,FMNIST,10,100,8,by_labels,0.05,42
DSpodFL,SVM,FMNIST,10,100,8,by_labels,0.05,42
PureLocal,SVM,FMNIST,10,100,8,by_labels,0.05,42
DPFL,SVM,FMNIST,10,100,8,by_labels,0.1,42
DSpodFL,SVM,FMNIST,10,100,8,by_labels,0.1,42
PureLocal,SVM,FMNIST,10,100,8,by_labels,0.1,42
DPFL,SVM,FMNIST,20,100,1,by_labels,0.02,42
DSpodFL,SVM,FMNIST,20,100,1,by_labels,0.02,42
PureLocal,SVM,FMNIST,20,100,1,by_labels,0.02,42
DPFL,SVM,FMNIST,20,100,1,by_labels,0.05,42
DSpodFL,SVM,FMNIST,20,100,1,by_labels,0.05,42
PureLocal,SVM,FMNIST,20,100,1,by_labels,0.05,42
DPFL,SVM,FMNIST,20,100,1,by_labels,0.1,42
DSpodFL,SVM,FMNIST,20,100,1,by_labels,0.1,42
PureLocal,SVM,FMNIST,20,100,1,by_labels,0.1,42
DPFL,SVM,FMNIST,20,100,2,by_labels,0.02,42
DSpodFL,SVM,FMNIST,20,100,2,by_labels,0.02,42
PureLocal,SVM,FMNIST,20,100,2,by_labels,0.02,42
DPFL,SVM,FMNIST,20,100,2,by_labels,0.05,42
DSpodFL,SVM,FMNIST,20,100,2,by_labels,0.05,42
PureLocal,SVM,FMNIST,20,100,2,by_labels,0.05,42
DPFL,SVM,FMNIST,20,100,2,by_labels,0.1,42
DSpodFL,SVM,FMNIST,20,100,2,by_labels,0.1,42
PureLocal,SVM,FMNIST,20,100,2,by_labels,0.1,42
DPFL,SVM,FMNIST,20,100,8,by_labels,0.02,42
DSpodFL,SVM,FMNIST,20,100,8,by_labels,0.02,42
PureLocal,SVM,FMNIST,20,100,8,by_labels,0.02,42
DPFL,SVM,FMNIST,20,100,8,by_labels,0.05,42
DSpodFL,SVM,FMNIST,20,100,8,by_labels,0.05,42
PureLocal,SVM,FMNIST,20,100,8,by_labels,0.05,42
DPFL,SVM,FMNIST,20,100,8,by_labels,0.1,42
DSpodFL,SVM,FMNIST,20,100,8,by_labels,0.1,42
PureLocal,SVM,FMNIST,20,100,8,by_labels,0.1,42
DPFL,SVM,FMNIST,30,100,1,by_labels,0.02,42
DSpodFL,SVM,FMNIST,30,100,1,by_labels,0.02,42
PureLocal,SVM,FMNIST,30,100,1,by_labels,0.02,42
DPFL,SVM,FMNIST,30,100,1,by_labels,0.05,42
DSpodFL,SVM,FMNIST,30,100,1,by_labels,0.05,42
PureLocal,SVM,FMNIST,30,100,1,by_labels,0.05,42
DPFL,SVM,FMNIST,30,100,1,by_labels,0.1,42
DSpodFL,SVM,FMNIST,30,100,1,by_labels,0.1,42
PureLocal,SVM,FMNIST,30,100,1,by_labels,0.1,42
DPFL,SVM,FMNIST,30,100,2,by_labels,0.02,42
DSpodFL,SVM,FMNIST,30,100,2,by_labels,0.02,42
PureLocal,SVM,FMNIST,30,100,2,by_labels,0.02,42
DPFL,SVM,FMNIST,30,100,2,by_labels,0.05,42
DSpodFL,SVM,FMNIST,30,100,2,by_labels,0.05,42
PureLocal,SVM,FMNIST,30,100,2,by_labels,0.05,42
DPFL,SVM,FMNIST,30,100,2,by_labels,0.1,42
DSpodFL,SVM,FMNIST,30,100,2,by_labels,0.1,42
PureLocal,SVM,FMNIST,30,100,2,by_labels,0.1,42
DPFL,SVM,FMNIST,30,100,8,by_labels,0.02,42
DSpodFL,SVM,FMNIST,30,100,8,by_labels,0.02,42
PureLocal,SVM,FMNIST,30,100,8,by_labels,0.02,42
DPFL,SVM,FMNIST,30,100,8,by_labels,0.05,42
DSpodFL,SVM,FMNIST,30,100,8,by_labels,0.05,42
PureLocal,SVM,FMNIST,30,100,8,by_labels,0.05,42
DPFL,SVM,FMNIST,30,100,8,by_labels,0.1,42
DSpodFL,SVM,FMNIST,30,100,8,by_labels,0.1,42
PureLocal,SVM,FMNIST,30,100,8,by_labels,0.1,42
