iteration,test_acc
0,0.21619999999999995
1,0.3008
2,0.337
3,0.3412
4,0.3454
5,0.37
6,0.4138
7,0.4406
8,0.44419999999999993
9,0.4401999999999999
10,0.4504
11,0.4448
12,0.45380000000000004
13,0.4502
14,0.4710000000000001
15,0.4935999999999999
16,0.49539999999999995
17,0.49879999999999997
18,0.5027999999999999
19,0.49779999999999996
20,0.49379999999999996
21,0.501
22,0.5012
23,0.5
24,0.5064
25,0.5084
26,0.5117999999999999
27,0.5084
28,0.5025999999999999
29,0.5012
30,0.5006
31,0.4974
32,0.5028
33,0.493
34,0.493
35,0.4922000000000001
36,0.4962000000000001
37,0.4944
38,0.497
39,0.4958
40,0.4972
41,0.4962000000000001
42,0.4984
43,0.4952
44,0.495
45,0.49119999999999997
46,0.4952
47,0.49879999999999997
48,0.5002
49,0.5019999999999999
50,0.49959999999999993
51,0.5015999999999999
52,0.5073999999999999
53,0.5090000000000001
54,0.5117999999999998
55,0.5117999999999999
56,0.508
57,0.506
58,0.5166
59,0.5111999999999999
60,0.5034
61,0.5025999999999999
62,0.5067999999999999
63,0.5079999999999999
64,0.5161999999999999
65,0.5239999999999999
66,0.5324
67,0.536
68,0.537
69,0.537
70,0.5346
71,0.5351999999999999
72,0.5386
73,0.5429999999999999
74,0.5434
75,0.5418
76,0.5418000000000001
77,0.5414000000000001
78,0.5382
79,0.5376
80,0.5361999999999999
81,0.5364
82,0.5312
83,0.5346
84,0.5296000000000001
85,0.5296
86,0.5318
87,0.5358
88,0.5268
89,0.5328
90,0.5281999999999999
91,0.5258
92,0.5191999999999999
93,0.5252
94,0.5282
95,0.5216000000000001
96,0.5197999999999999
97,0.521
98,0.5085999999999998
99,0.5229999999999999
100,0.5229999999999999
101,0.5246
102,0.5256000000000001
103,0.5182
104,0.5292
105,0.5072
106,0.5192
107,0.5391999999999999
108,0.5324
109,0.541
110,0.5464
111,0.553
112,0.5408
113,0.5234
114,0.5378000000000001
115,0.5491999999999999
116,0.5538000000000001
117,0.5196
118,0.5262
119,0.5324
120,0.5384
121,0.538
122,0.5344
123,0.5192
124,0.5114
125,0.53
126,0.5163999999999999
127,0.5486
128,0.5218
129,0.5288
130,0.5224
131,0.5302
132,0.5252
133,0.5278
134,0.5325999999999999
135,0.5428000000000001
136,0.552
137,0.5166000000000001
138,0.5105999999999999
139,0.5274
140,0.5526
141,0.5478000000000001
142,0.5713999999999999
143,0.5486000000000001
144,0.5622
145,0.5446
146,0.5532
147,0.5671999999999999
148,0.568
149,0.6053999999999999
150,0.5526000000000001
151,0.5793999999999999
152,0.5932000000000001
153,0.6012000000000001
154,0.5694
155,0.538
156,0.6174000000000001
157,0.5625999999999999
158,0.5408000000000001
159,0.5406
160,0.5591999999999999
161,0.5618000000000001
162,0.5595999999999999
163,0.5792
164,0.5468
165,0.5398
166,0.5486000000000001
167,0.5558000000000001
168,0.571
169,0.6012000000000001
170,0.5764
171,0.5588
172,0.5436000000000001
173,0.5732
174,0.5482
175,0.5582
176,0.5306
177,0.5862
178,0.5730000000000001
179,0.5444
180,0.5738
181,0.5992
182,0.5928000000000001
183,0.5616000000000001
184,0.5694
185,0.5768
186,0.5768000000000001
187,0.5712
188,0.5598
189,0.6077999999999999
190,0.5816
191,0.5576
192,0.5966
193,0.5968
194,0.5976
195,0.5968
196,0.5968
197,0.5816
198,0.591
199,0.6195999999999999
200,0.5946
201,0.5871999999999999
202,0.584
203,0.5784
204,0.5934
205,0.577
206,0.5755999999999999
207,0.592
208,0.5876
209,0.5616000000000001
210,0.5892000000000001
211,0.58
212,0.6068
213,0.5942
214,0.5834
215,0.5774
216,0.5759999999999998
217,0.5986
218,0.5788
219,0.5835999999999999
220,0.5968000000000001
221,0.5796
222,0.5546
223,0.5748
224,0.5902000000000001
225,0.6056000000000001
226,0.6018
227,0.6054000000000002
228,0.5782
229,0.6194
230,0.6152
231,0.5768
232,0.5868
233,0.6094000000000002
234,0.6182000000000001
235,0.5706000000000001
236,0.5980000000000001
237,0.6001999999999998
238,0.5728000000000001
239,0.5588
240,0.5806
241,0.6016
242,0.5748
243,0.599
244,0.6048
245,0.6044
246,0.5988
247,0.6086
248,0.6242000000000001
249,0.6026
250,0.59
251,0.6106
252,0.5831999999999999
253,0.6102
254,0.5866
255,0.5848
256,0.5963999999999999
257,0.579
258,0.5988
259,0.5964
260,0.597
261,0.6095999999999999
262,0.5944
263,0.6038
264,0.6178000000000001
265,0.6132
266,0.5958
267,0.5852
268,0.5681999999999998
269,0.6042000000000001
270,0.6404000000000001
271,0.5900000000000001
272,0.5840000000000001
273,0.6093999999999999
274,0.6128
275,0.6098
276,0.6205999999999999
277,0.623
278,0.6108
279,0.6412
280,0.616
281,0.6398
282,0.6462000000000001
283,0.6122000000000001
284,0.6106
285,0.6068
286,0.5928
287,0.642
288,0.6207999999999999
289,0.6189999999999999
290,0.5958000000000001
291,0.635
292,0.6338
293,0.6335999999999999
294,0.612
295,0.6170000000000001
296,0.6334
297,0.6159999999999999
298,0.6058
299,0.5759999999999998
