iteration,test_acc,actions
0,0.282,"[[[0.         0.        ]
  [0.00757369 0.        ]]]"
1,0.496,"[[[0. 0.]
  [0. 0.]]]"
2,0.496,"[[[0. 0.]
  [0. 0.]]]"
3,0.496,"[[[0. 0.]
  [0. 0.]]]"
4,0.496,"[[[0. 0.]
  [0. 0.]]]"
5,0.535,"[[[0. 0.]
  [0. 0.]]]"
6,0.5435,"[[[0. 0.]
  [0. 0.]]]"
7,0.624,"[[[0. 0.]
  [0. 0.]]]"
8,0.5705,"[[[0. 0.]
  [0. 0.]]]"
9,0.602,"[[[0. 0.]
  [0. 0.]]]"
10,0.6305000000000001,"[[[0. 0.]
  [0. 0.]]]"
11,0.647,"[[[0. 0.]
  [0. 0.]]]"
12,0.507,"[[[0. 0.]
  [0. 0.]]]"
13,0.613,"[[[0. 0.]
  [0. 0.]]]"
14,0.6615,"[[[0. 0.]
  [0. 0.]]]"
15,0.628,"[[[0. 0.]
  [0. 0.]]]"
16,0.7264999999999999,"[[[0. 0.]
  [0. 0.]]]"
17,0.6114999999999999,"[[[0. 0.]
  [0. 0.]]]"
18,0.6759999999999999,"[[[0. 0.]
  [0. 0.]]]"
19,0.622,"[[[0. 0.]
  [0. 0.]]]"
20,0.731,"[[[0. 0.]
  [0. 0.]]]"
21,0.692,"[[[0. 0.]
  [0. 0.]]]"
22,0.641,"[[[0. 0.]
  [0. 0.]]]"
23,0.6105,"[[[0. 0.]
  [0. 0.]]]"
24,0.6950000000000001,"[[[0. 0.]
  [0. 0.]]]"
25,0.738,"[[[0. 0.]
  [0. 0.]]]"
26,0.746,"[[[0. 0.]
  [0. 0.]]]"
27,0.733,"[[[0. 0.]
  [0. 0.]]]"
28,0.7444999999999999,"[[[0. 0.]
  [0. 0.]]]"
29,0.751,"[[[0. 0.]
  [0. 0.]]]"
30,0.694,"[[[0. 0.]
  [0. 0.]]]"
31,0.741,"[[[0. 0.]
  [0. 0.]]]"
32,0.717,"[[[0. 0.]
  [0. 0.]]]"
33,0.7335,"[[[0. 0.]
  [0. 0.]]]"
34,0.7324999999999999,"[[[0. 0.]
  [0. 0.]]]"
35,0.6535,"[[[0. 0.]
  [0. 0.]]]"
36,0.7455,"[[[0. 0.]
  [0. 0.]]]"
37,0.7635000000000001,"[[[0. 0.]
  [0. 0.]]]"
38,0.759,"[[[0. 0.]
  [0. 0.]]]"
39,0.7455,"[[[0. 0.]
  [0. 0.]]]"
40,0.7705,"[[[0. 0.]
  [0. 0.]]]"
41,0.7615000000000001,"[[[0. 0.]
  [0. 0.]]]"
42,0.766,"[[[0. 0.]
  [0. 0.]]]"
43,0.7575000000000001,"[[[0. 0.]
  [0. 0.]]]"
44,0.7324999999999999,"[[[0. 0.]
  [0. 0.]]]"
45,0.7695000000000001,"[[[0. 0.]
  [0. 0.]]]"
46,0.7725,"[[[0. 0.]
  [0. 0.]]]"
47,0.768,"[[[0. 0.]
  [0. 0.]]]"
48,0.7775000000000001,"[[[0. 0.]
  [0. 0.]]]"
49,0.7805,"[[[0. 0.]
  [0. 0.]]]"
50,0.751,"[[[0. 0.]
  [0. 0.]]]"
51,0.7815000000000001,"[[[0. 0.]
  [0. 0.]]]"
52,0.758,"[[[0. 0.]
  [0. 0.]]]"
53,0.759,"[[[0. 0.]
  [0. 0.]]]"
54,0.7825,"[[[0. 0.]
  [0. 0.]]]"
55,0.779,"[[[0. 0.]
  [0. 0.]]]"
56,0.788,"[[[0. 0.]
  [0. 0.]]]"
57,0.7905,"[[[0. 0.]
  [0. 0.]]]"
58,0.8035,"[[[0. 0.]
  [0. 0.]]]"
59,0.775,"[[[0. 0.]
  [0. 0.]]]"
60,0.7865,"[[[0. 0.]
  [0. 0.]]]"
61,0.7995,"[[[0. 0.]
  [0. 0.]]]"
62,0.7845,"[[[0. 0.]
  [0. 0.]]]"
63,0.794,"[[[0. 0.]
  [0. 0.]]]"
64,0.8175,"[[[0. 0.]
  [0. 0.]]]"
65,0.812,"[[[0. 0.]
  [0. 0.]]]"
66,0.8025,"[[[0. 0.]
  [0. 0.]]]"
67,0.8260000000000001,"[[[0. 0.]
  [0. 0.]]]"
68,0.8285,"[[[0. 0.]
  [0. 0.]]]"
69,0.777,"[[[0. 0.]
  [0. 0.]]]"
70,0.8045,"[[[0. 0.]
  [0. 0.]]]"
71,0.8315,"[[[0. 0.]
  [0. 0.]]]"
72,0.827,"[[[0. 0.]
  [0. 0.]]]"
73,0.8015,"[[[0. 0.]
  [0. 0.]]]"
74,0.843,"[[[0. 0.]
  [0. 0.]]]"
75,0.8375,"[[[0. 0.]
  [0. 0.]]]"
76,0.8355,"[[[0. 0.]
  [0. 0.]]]"
77,0.7969999999999999,"[[[0. 0.]
  [0. 0.]]]"
78,0.842,"[[[0. 0.]
  [0. 0.]]]"
79,0.8465,"[[[0. 0.]
  [0. 0.]]]"
80,0.831,"[[[0. 0.]
  [0. 0.]]]"
81,0.8165,"[[[0. 0.]
  [0. 0.]]]"
82,0.837,"[[[0. 0.]
  [0. 0.]]]"
