iteration,test_acc,actions
0,0.506,"[[[0.00271329 0.        ]
  [0.         0.00079814]]]"
1,0.506,"[[[0.04083497 0.        ]
  [0.         0.04727288]]]"
2,0.506,"[[[0.04088917 0.        ]
  [0.         0.04640975]]]"
3,0.506,"[[[0.04105414 0.        ]
  [0.         0.04519823]]]"
4,0.506,"[[[0.04151874 0.        ]
  [0.         0.04311343]]]"
5,0.506,"[[[0.04278959 0.        ]
  [0.         0.03868503]]]"
6,0.506,"[[[0.04673544 0.        ]
  [0.         0.02581856]]]"
7,0.506,"[[[0.05035074 0.        ]
  [0.         0.00915709]]]"
8,0.5405,"[[[0.04892958 0.        ]
  [0.         0.00589699]]]"
9,0.5355,"[[[0.04360093 0.        ]
  [0.         0.00880052]]]"
10,0.643,"[[[0.03315898 0.        ]
  [0.         0.01631496]]]"
11,0.504,"[[[0.0268821  0.        ]
  [0.         0.02028202]]]"
12,0.524,"[[[0.02512326 0.        ]
  [0.         0.02138771]]]"
13,0.4945,"[[[0.02424656 0.        ]
  [0.         0.02384538]]]"
14,0.5585,"[[[0.02445982 0.        ]
  [0.         0.02169557]]]"
15,0.4955,"[[[0.02411988 0.        ]
  [0.         0.02143096]]]"
16,0.5065,"[[[0.02344284 0.        ]
  [0.         0.02505886]]]"
17,0.525,"[[[0.02340528 0.        ]
  [0.         0.02257364]]]"
18,0.6865,"[[[0.02381499 0.        ]
  [0.         0.02165825]]]"
19,0.6835,"[[[0.02293955 0.        ]
  [0.         0.02066702]]]"
20,0.726,"[[[0.02237994 0.        ]
  [0.         0.02129426]]]"
21,0.629,"[[[0.02212603 0.        ]
  [0.         0.02062179]]]"
22,0.611,"[[[0.02168773 0.        ]
  [0.         0.02322592]]]"
23,0.692,"[[[0.0210969  0.        ]
  [0.         0.02520658]]]"
24,0.675,"[[[0.02092438 0.        ]
  [0.         0.02180758]]]"
25,0.665,"[[[0.02097338 0.        ]
  [0.         0.02245224]]]"
26,0.713,"[[[0.02221311 0.        ]
  [0.         0.02028964]]]"
27,0.7025,"[[[0.02110315 0.        ]
  [0.         0.01954324]]]"
28,0.7164999999999999,"[[[0.02026795 0.        ]
  [0.         0.0230861 ]]]"
29,0.7344999999999999,"[[[0.02271788 0.        ]
  [0.         0.01817486]]]"
30,0.7395,"[[[0.02107937 0.        ]
  [0.         0.01955814]]]"
31,0.737,"[[[0.01984241 0.        ]
  [0.         0.01991293]]]"
32,0.655,"[[[0.02149932 0.        ]
  [0.         0.01857099]]]"
33,0.73,"[[[0.01895448 0.        ]
  [0.         0.02717216]]]"
34,0.7355,"[[[0.01986837 0.        ]
  [0.         0.02096679]]]"
35,0.748,"[[[0.0192897  0.        ]
  [0.         0.02171906]]]"
36,0.7204999999999999,"[[[0.01940405 0.        ]
  [0.         0.02002774]]]"
37,0.6890000000000001,"[[[0.02073064 0.        ]
  [0.         0.01965287]]]"
38,0.752,"[[[0.0205688  0.        ]
  [0.         0.02304713]]]"
39,0.756,"[[[0.01924787 0.        ]
  [0.         0.01948026]]]"
40,0.724,"[[[0.01890951 0.        ]
  [0.         0.01936834]]]"
41,0.7475,"[[[0.01877563 0.        ]
  [0.         0.02177269]]]"
42,0.744,"[[[0.01881105 0.        ]
  [0.         0.02053034]]]"
43,0.765,"[[[0.01845136 0.        ]
  [0.         0.02125739]]]"
44,0.754,"[[[0.01847211 0.        ]
  [0.         0.01936119]]]"
45,0.762,"[[[0.01852744 0.        ]
  [0.         0.0204316 ]]]"
46,0.731,"[[[0.01834821 0.        ]
  [0.         0.01922313]]]"
47,0.7475,"[[[0.01899533 0.        ]
  [0.         0.02140711]]]"
48,0.7464999999999999,"[[[0.019233   0.        ]
  [0.         0.01945042]]]"
49,0.7475,"[[[0.01795318 0.        ]
  [0.         0.02313362]]]"
50,0.7745,"[[[0.01778406 0.        ]
  [0.         0.02100704]]]"
51,0.7665,"[[[0.01910443 0.        ]
  [0.         0.01853916]]]"
52,0.774,"[[[0.01754691 0.        ]
  [0.         0.02010428]]]"
53,0.7705,"[[[0.01864354 0.        ]
  [0.         0.01855597]]]"
54,0.7705,"[[[0.01780702 0.        ]
  [0.         0.02021486]]]"
55,0.767,"[[[0.01724567 0.        ]
  [0.         0.02022297]]]"
56,0.7805,"[[[0.01730173 0.        ]
  [0.         0.02077986]]]"
57,0.7795000000000001,"[[[0.01753278 0.        ]
  [0.         0.01907927]]]"
58,0.78,"[[[0.01745545 0.        ]
  [0.         0.01977548]]]"
59,0.7815000000000001,"[[[0.01695693 0.        ]
  [0.         0.0194185 ]]]"
60,0.7825,"[[[0.0166634  0.        ]
  [0.         0.01962721]]]"
61,0.7865,"[[[0.01655056 0.        ]
  [0.         0.01948411]]]"
62,0.7589999999999999,"[[[0.01695545 0.        ]
  [0.         0.01932906]]]"
63,0.794,"[[[0.01670192 0.        ]
  [0.         0.0226934 ]]]"
64,0.792,"[[[0.01640676 0.        ]
  [0.         0.01967486]]]"
65,0.7905,"[[[0.01630065 0.        ]
  [0.         0.0196857 ]]]"
66,0.7795,"[[[0.01629614 0.        ]
  [0.         0.01979622]]]"
67,0.8009999999999999,"[[[0.01512871 0.        ]
  [0.         0.0253079 ]]]"
68,0.7969999999999999,"[[[0.01558682 0.        ]
  [0.         0.02011184]]]"
69,0.8069999999999999,"[[[0.01601585 0.        ]
  [0.         0.01988672]]]"
70,0.802,"[[[0.01521525 0.        ]
  [0.         0.01997029]]]"
71,0.8015,"[[[0.01582543 0.        ]
  [0.         0.01974403]]]"
72,0.8140000000000001,"[[[0.01604768 0.        ]
  [0.         0.01952947]]]"
73,0.8089999999999999,"[[[0.01433293 0.        ]
  [0.         0.02056487]]]"
74,0.792,"[[[0.0140862  0.        ]
  [0.         0.02155058]]]"
75,0.8105,"[[[0.01511931 0.        ]
  [0.         0.02212786]]]"
76,0.819,"[[[0.01436485 0.        ]
  [0.         0.02129657]]]"
77,0.8135,"[[[0.01381009 0.        ]
  [0.         0.02092278]]]"
78,0.8175,"[[[0.01370126 0.        ]
  [0.         0.02122082]]]"
79,0.8140000000000001,"[[[0.01349468 0.        ]
  [0.         0.02108216]]]"
80,0.821,"[[[0.01328582 0.        ]
  [0.         0.02210149]]]"
81,0.8220000000000001,"[[[0.01309626 0.        ]
  [0.         0.02108558]]]"
82,0.8300000000000001,"[[[0.01309267 0.        ]
  [0.         0.02105704]]]"
83,0.8205,"[[[0.0129602  0.        ]
  [0.         0.02109381]]]"
84,0.8225,"[[[0.01398232 0.        ]
  [0.         0.02019663]]]"
85,0.8125,"[[[0.01339022 0.        ]
  [0.         0.0205761 ]]]"
86,0.8220000000000001,"[[[0.0127039  0.        ]
  [0.         0.02402971]]]"
87,0.8275,"[[[0.01323739 0.        ]
  [0.         0.02119489]]]"
88,0.8265,"[[[0.01249418 0.        ]
  [0.         0.02174306]]]"
89,0.825,"[[[0.01338319 0.        ]
  [0.         0.02039459]]]"
90,0.8220000000000001,"[[[0.01331095 0.        ]
  [0.         0.02042077]]]"
91,0.829,"[[[0.01307701 0.        ]
  [0.         0.02039707]]]"
92,0.8315,"[[[0.01242192 0.        ]
  [0.         0.02097238]]]"
93,0.8255,"[[[0.01240437 0.        ]
  [0.         0.02136704]]]"
94,0.831,"[[[0.01256666 0.        ]
  [0.         0.02088832]]]"
95,0.8240000000000001,"[[[0.01228787 0.        ]
  [0.         0.02119296]]]"
96,0.8205,"[[[0.01209993 0.        ]
  [0.         0.0232523 ]]]"
97,0.8315,"[[[0.01194819 0.        ]
  [0.         0.02428307]]]"
98,0.835,"[[[0.01208006 0.        ]
  [0.         0.02087584]]]"
99,0.8265,"[[[0.01202831 0.        ]
  [0.         0.021727  ]]]"
100,0.8205,"[[[0.0118501  0.        ]
  [0.         0.02303714]]]"
101,0.8265,"[[[0.01362039 0.        ]
  [0.         0.02003844]]]"
102,0.8325,"[[[0.01269907 0.        ]
  [0.         0.02082183]]]"
103,0.841,"[[[0.01280521 0.        ]
  [0.         0.02095451]]]"
104,0.8280000000000001,"[[[0.01181164 0.        ]
  [0.         0.02106213]]]"
105,0.8355,"[[[0.01160089 0.        ]
  [0.         0.02348702]]]"
106,0.8300000000000001,"[[[0.01337391 0.        ]
  [0.         0.02033432]]]"
107,0.8425,"[[[0.01248285 0.        ]
  [0.         0.02021171]]]"
108,0.8405,"[[[0.01152515 0.        ]
  [0.         0.02079323]]]"
109,0.843,"[[[0.01151418 0.        ]
  [0.         0.02139976]]]"
110,0.835,"[[[0.01202621 0.        ]
  [0.         0.02081594]]]"
111,0.8395,"[[[0.01190562 0.        ]
  [0.         0.02040151]]]"
112,0.8245,"[[[0.01172977 0.        ]
  [0.         0.02051517]]]"
113,0.8345,"[[[0.01260398 0.        ]
  [0.         0.02119066]]]"
114,0.8245,"[[[0.0125468  0.        ]
  [0.         0.02032615]]]"
115,0.841,"[[[0.01235379 0.        ]
  [0.         0.02166703]]]"
116,0.8180000000000001,"[[[0.01181435 0.        ]
  [0.         0.02020955]]]"
117,0.8500000000000001,"[[[0.01327211 0.        ]
  [0.         0.02085109]]]"
118,0.8335,"[[[0.01165811 0.        ]
  [0.         0.02076483]]]"
119,0.8475,"[[[0.01260779 0.        ]
  [0.         0.01971395]]]"
120,0.8455,"[[[0.01102147 0.        ]
  [0.         0.02052187]]]"
121,0.8475,"[[[0.01203922 0.        ]
  [0.         0.02010802]]]"
122,0.841,"[[[0.01089302 0.        ]
  [0.         0.02175584]]]"
123,0.8455,"[[[0.0129822 0.       ]
  [0.        0.0192506]]]"
124,0.8375,"[[[0.01086067 0.        ]
  [0.         0.02181363]]]"
125,0.8435,"[[[0.01194599 0.        ]
  [0.         0.01974583]]]"
126,0.8415,"[[[0.01118529 0.        ]
  [0.         0.02006986]]]"
127,0.8405,"[[[0.01158913 0.        ]
  [0.         0.02069352]]]"
128,0.8540000000000001,"[[[0.01175348 0.        ]
  [0.         0.02162016]]]"
129,0.8585,"[[[0.01143224 0.        ]
  [0.         0.02084122]]]"
130,0.8425,"[[[0.01060835 0.        ]
  [0.         0.02034934]]]"
131,0.8555,"[[[0.01045538 0.        ]
  [0.         0.02239343]]]"
132,0.8375,"[[[0.01064978 0.        ]
  [0.         0.02072411]]]"
133,0.835,"[[[0.01123852 0.        ]
  [0.         0.0216703 ]]]"
134,0.8525,"[[[0.01307799 0.        ]
  [0.         0.02082803]]]"
135,0.8480000000000001,"[[[0.01080746 0.        ]
  [0.         0.02055246]]]"
136,0.8545,"[[[0.0108578  0.        ]
  [0.         0.02031914]]]"
137,0.847,"[[[0.01056551 0.        ]
  [0.         0.02059474]]]"
138,0.863,"[[[0.01099321 0.        ]
  [0.         0.01981774]]]"
139,0.8605,"[[[0.0113207  0.        ]
  [0.         0.01990158]]]"
140,0.8565,"[[[0.01042481 0.        ]
  [0.         0.0200651 ]]]"
141,0.8535,"[[[0.01036279 0.        ]
  [0.         0.02015216]]]"
142,0.8585,"[[[0.01035855 0.        ]
  [0.         0.02097898]]]"
143,0.8440000000000001,"[[[0.01193524 0.        ]
  [0.         0.01900988]]]"
144,0.8405,"[[[0.01255822 0.        ]
  [0.         0.01866465]]]"
145,0.851,"[[[0.01187871 0.        ]
  [0.         0.02028037]]]"
146,0.867,"[[[0.01210327 0.        ]
  [0.         0.0186275 ]]]"
147,0.8560000000000001,"[[[0.01086764 0.        ]
  [0.         0.01929821]]]"
148,0.8695,"[[[0.01043554 0.        ]
  [0.         0.02084242]]]"
149,0.861,"[[[0.01101934 0.        ]
  [0.         0.01931584]]]"
150,0.8655,"[[[0.01125897 0.        ]
  [0.         0.01888205]]]"
151,0.8694999999999999,"[[[0.01114422 0.        ]
  [0.         0.01959484]]]"
152,0.861,"[[[0.01023725 0.        ]
  [0.         0.01951708]]]"
153,0.8675,"[[[0.01150093 0.        ]
  [0.         0.02010009]]]"
154,0.8685,"[[[0.0103356  0.        ]
  [0.         0.01952806]]]"
155,0.8540000000000001,"[[[0.01095265 0.        ]
  [0.         0.01926253]]]"
156,0.871,"[[[0.01128889 0.        ]
  [0.         0.01921481]]]"
157,0.867,"[[[0.01000454 0.        ]
  [0.         0.01946364]]]"
158,0.8660000000000001,"[[[0.01195522 0.        ]
  [0.         0.01789699]]]"
159,0.8634999999999999,"[[[0.0101653  0.        ]
  [0.         0.01909661]]]"
160,0.8355,"[[[0.01099409 0.        ]
  [0.         0.01855096]]]"
161,0.8695,"[[[0.01025589 0.        ]
  [0.         0.02371065]]]"
162,0.874,"[[[0.00975617 0.        ]
  [0.         0.01988668]]]"
163,0.867,"[[[0.0097779  0.        ]
  [0.         0.01909575]]]"
164,0.869,"[[[0.01045302 0.        ]
  [0.         0.01841812]]]"
165,0.8455,"[[[0.00975304 0.        ]
  [0.         0.01973103]]]"
166,0.874,"[[[0.00968145 0.        ]
  [0.         0.02396483]]]"
167,0.859,"[[[0.00982656 0.        ]
  [0.         0.01859223]]]"
168,0.8685,"[[[0.00974074 0.        ]
  [0.         0.02072954]]]"
169,0.876,"[[[0.01022571 0.        ]
  [0.         0.01819743]]]"
170,0.874,"[[[0.0112426  0.        ]
  [0.         0.01745168]]]"
171,0.8805000000000001,"[[[0.00967596 0.        ]
  [0.         0.01857669]]]"
172,0.872,"[[[0.00982792 0.        ]
  [0.         0.01815227]]]"
173,0.8835,"[[[0.01082793 0.        ]
  [0.         0.01774801]]]"
174,0.8765000000000001,"[[[0.01018263 0.        ]
  [0.         0.01812431]]]"
175,0.8705,"[[[0.01049615 0.        ]
  [0.         0.01765937]]]"
176,0.8665,"[[[0.01186809 0.        ]
  [0.         0.01761344]]]"
177,0.8795,"[[[0.0122088  0.        ]
  [0.         0.01649833]]]"
178,0.8745,"[[[0.00989658 0.        ]
  [0.         0.01839526]]]"
179,0.885,"[[[0.01127265 0.        ]
  [0.         0.01735394]]]"
180,0.813,"[[[0.00978057 0.        ]
  [0.         0.01784669]]]"
181,0.857,"[[[0.01152937 0.        ]
  [0.         0.02275732]]]"
182,0.8720000000000001,"[[[0.00976732 0.        ]
  [0.         0.02237752]]]"
183,0.8500000000000001,"[[[0.00938679 0.        ]
  [0.         0.01967332]]]"
184,0.8905,"[[[0.01092003 0.        ]
  [0.         0.02204665]]]"
185,0.8905,"[[[0.01019545 0.        ]
  [0.         0.01701049]]]"
186,0.889,"[[[0.00987955 0.        ]
  [0.         0.01770224]]]"
187,0.8855,"[[[0.00956414 0.        ]
  [0.         0.01721635]]]"
188,0.884,"[[[0.00933211 0.        ]
  [0.         0.0181716 ]]]"
189,0.8645,"[[[0.01144995 0.        ]
  [0.         0.01617852]]]"
190,0.881,"[[[0.00932625 0.        ]
  [0.         0.02180899]]]"
191,0.885,"[[[0.00950974 0.        ]
  [0.         0.01850806]]]"
192,0.8845000000000001,"[[[0.00987631 0.        ]
  [0.         0.01713699]]]"
193,0.8879999999999999,"[[[0.00982582 0.        ]
  [0.         0.01696415]]]"
194,0.8905,"[[[0.00934844 0.        ]
  [0.         0.01814452]]]"
195,0.893,"[[[0.00959398 0.        ]
  [0.         0.01691301]]]"
196,0.89,"[[[0.00938743 0.        ]
  [0.         0.01729474]]]"
197,0.8875,"[[[0.01016931 0.        ]
  [0.         0.01663691]]]"
198,0.8614999999999999,"[[[0.01078475 0.        ]
  [0.         0.01645548]]]"
199,0.864,"[[[0.013354   0.        ]
  [0.         0.01564856]]]"
200,0.8919999999999999,"[[[0.00917478 0.        ]
  [0.         0.0226432 ]]]"
201,0.888,"[[[0.01011105 0.        ]
  [0.         0.01650849]]]"
