iteration,test_acc,actions
0,0.4641509433962264,"[[[0.0293736  0.         0.         0.        ]
  [0.         0.00926419 0.00084291 0.        ]
  [0.00282588 0.00618135 0.00558447 0.        ]
  [0.         0.02107622 0.01054582 0.        ]
  [0.01012333 0.         0.00702367 0.00473457]]]"
1,0.4867924528301887,"[[[0.29423892 0.         0.         0.        ]
  [0.05909073 0.07018466 0.         0.02316946]
  [0.         0.0849117  0.         0.        ]
  [0.         0.12333222 0.06260145 0.        ]
  [0.07251811 0.05776165 0.02126819 0.00229086]]]"
2,0.4867924528301887,"[[[0.28944865 0.         0.         0.        ]
  [0.05780657 0.06903573 0.         0.02270455]
  [0.         0.08345821 0.         0.        ]
  [0.         0.12193617 0.06168303 0.        ]
  [0.07155722 0.05622786 0.02129107 0.00225705]]]"
3,0.4867924528301887,"[[[0.28456545 0.         0.         0.        ]
  [0.05650318 0.06786734 0.         0.02223103]
  [0.         0.08197866 0.         0.        ]
  [0.         0.1204802  0.06074464 0.        ]
  [0.07056399 0.05469161 0.02129595 0.00222866]]]"
4,0.4867924528301887,"[[[0.27915153 0.         0.         0.        ]
  [0.0550648  0.06657523 0.         0.0217065 ]
  [0.         0.0803408  0.         0.        ]
  [0.         0.11882898 0.05970191 0.        ]
  [0.06944761 0.05301914 0.02128037 0.00220401]]]"
5,0.4867924528301887,"[[[0.2726604  0.         0.         0.        ]
  [0.05334937 0.06503043 0.         0.02107815]
  [0.         0.07838027 0.         0.        ]
  [0.         0.11680046 0.05844867 0.        ]
  [0.06808935 0.05105429 0.02123377 0.00218336]]]"
6,0.4867924528301887,"[[[0.26370642 0.         0.         0.        ]
  [0.05099914 0.06290708 0.         0.0202122 ]
  [0.         0.07568137 0.         0.        ]
  [0.         0.11392038 0.05671501 0.        ]
  [0.06618318 0.04841168 0.02112195 0.00216969]]]"
7,0.4867924528301887,"[[[0.24899331 0.         0.         0.        ]
  [0.04717671 0.05943607 0.         0.01879075]
  [0.         0.0712592  0.         0.        ]
  [0.         0.10899956 0.05385553 0.        ]
  [0.06297797 0.04422497 0.02082688 0.00218082]]]"
8,0.4867924528301887,"[[[0.2181288  0.         0.         0.        ]
  [0.03930809 0.05222035 0.         0.01581079]
  [0.         0.06202609 0.         0.        ]
  [0.         0.0980299  0.04782327 0.        ]
  [0.05601368 0.03597712 0.01981342 0.00231662]]]"
9,0.5132075471698113,"[[[0.16748777 0.         0.         0.        ]
  [0.02677949 0.04053947 0.         0.01091112]
  [0.         0.04697074 0.         0.        ]
  [0.         0.07860419 0.03786222 0.        ]
  [0.04408933 0.0236328  0.0172347  0.00277679]]]"
