iteration,test_acc,actions
0,0.29990163316367624,"[[[0.00072804 0.         0.00031576 0.00315512]
  [0.         0.00524505 0.00117613 0.        ]
  [0.00179208 0.         0.         0.        ]
  [0.         0.         0.00912872 0.        ]
  [0.00393757 0.         0.         0.        ]]]"
1,0.3050080161423997,"[[[0.         0.15607587 0.11292405 0.04605626]
  [0.         0.         0.00589279 0.        ]
  [0.18585679 0.         0.         0.11365608]
  [0.03537383 0.06772826 0.0750122  0.        ]
  [0.06067038 0.         0.         0.        ]]]"
2,0.40044874562568233,"[[[0.         0.15671663 0.11323942 0.04729392]
  [0.         0.         0.00760526 0.        ]
  [0.18460025 0.         0.         0.11225861]
  [0.03415713 0.06554837 0.0754633  0.        ]
  [0.06139014 0.         0.         0.        ]]]"
3,0.40044874562568233,"[[[0.         0.15618567 0.11299597 0.04788005]
  [0.         0.         0.00856032 0.        ]
  [0.18324704 0.         0.         0.11123005]
  [0.03317249 0.06435179 0.07549806 0.        ]
  [0.06165146 0.         0.         0.        ]]]"
4,0.40044874562568233,"[[[0.         0.1555375  0.11270647 0.04837355]
  [0.         0.         0.00941714 0.        ]
  [0.18190612 0.         0.         0.11022054]
  [0.03222485 0.06323296 0.07548916 0.        ]
  [0.06184473 0.         0.         0.        ]]]"
5,0.40044874562568233,"[[[0.         0.15468027 0.11236066 0.04877095]
  [0.         0.         0.01020227 0.        ]
  [0.18048714 0.         0.         0.1091517 ]
  [0.03124621 0.06208431 0.07542856 0.        ]
  [0.06195618 0.         0.         0.        ]]]"
6,0.4009937047537477,"[[[0.         0.15351227 0.11191305 0.04908082]
  [0.         0.         0.01094898 0.        ]
  [0.17886697 0.         0.         0.10800578]
  [0.03015011 0.06085172 0.07528966 0.        ]
  [0.06200812 0.         0.         0.        ]]]"
7,0.44151066793616484,"[[[0.         0.15165359 0.11134873 0.04923917]
  [0.         0.         0.01170102 0.        ]
  [0.17674176 0.         0.         0.10651845]
  [0.02875713 0.05916061 0.07504597 0.        ]
  [0.06190745 0.         0.         0.        ]]]"
8,0.5051323094527349,"[[[0.         0.14800546 0.11019624 0.04895318]
  [0.         0.         0.01246822 0.        ]
  [0.17328021 0.         0.         0.10405593]
  [0.02620932 0.0563275  0.07433246 0.        ]
  [0.0614729  0.         0.         0.        ]]]"
9,0.4561067753605467,"[[[0.00260674 0.14021435 0.10801497 0.04781777]
  [0.         0.         0.01346839 0.        ]
  [0.16647857 0.         0.         0.09951595]
  [0.02157116 0.05075449 0.07282065 0.        ]
  [0.06029852 0.         0.         0.        ]]]"
