iteration,actions,rewards,test_acc
0,"[[0.         0.38520092 0.14250484 0.22538228 0.24691196]
 [0.33661693 0.         0.09434619 0.29757471 0.27146217]
 [0.28394522 0.35582403 0.         0.12846001 0.23177074]
 [0.03461113 0.56121548 0.22164847 0.         0.18252492]
 [0.31659075 0.22442391 0.3025773  0.15640804 0.        ]]",-11.477666897243923,8.213552361396303e-05
1,"[[0.         0.30487018 0.53029538 0.05332397 0.10788899]
 [0.71225746 0.         0.11865128 0.06815441 0.10093685]
 [0.1721019  0.38986911 0.         0.06976992 0.36825907]
 [0.22576432 0.46568674 0.17481637 0.         0.13373257]
 [0.20319551 0.2706191  0.14811647 0.37806891 0.        ]]",-11.476899926440494,0.0
2,"[[0.         0.12174637 0.24779166 0.24739032 0.38307165]
 [0.10775138 0.         0.28825477 0.35498704 0.24900681]
 [0.19305245 0.31302447 0.         0.25114884 0.24277424]
 [0.09434026 0.15988434 0.17760694 0.         0.56816846]
 [0.14480674 0.34454752 0.17399433 0.33665141 0.        ]]",-11.420221494124815,0.016441401349769784
3,"[[0.         0.2237269  0.25361208 0.36407676 0.15858426]
 [0.02789643 0.         0.34466465 0.34362016 0.28381875]
 [0.03594691 0.21679299 0.         0.33374835 0.41351174]
 [0.39960126 0.00446834 0.23409275 0.         0.36183766]
 [0.25836386 0.00785694 0.39819914 0.33558006 0.        ]]",-11.359475973311131,0.19162694213370152
4,"[[0.         0.2711249  0.26557184 0.21146474 0.25183853]
 [0.31714144 0.         0.16721423 0.15963156 0.35601277]
 [0.12782851 0.60247622 0.         0.09020792 0.17948734]
 [0.24437027 0.21592965 0.15137421 0.         0.38832587]
 [0.53716413 0.00937121 0.36632836 0.0871363  0.        ]]",-11.476390112377144,0.0
5,"[[0.         0.29355048 0.26373522 0.19383053 0.24888377]
 [0.05546412 0.         0.30112367 0.25099312 0.39241909]
 [0.09993539 0.19372303 0.         0.349372   0.35696958]
 [0.08949902 0.28394281 0.18298972 0.         0.44356845]
 [0.25093577 0.40483992 0.07630467 0.26791964 0.        ]]",-11.419288652974206,0.020131893392014915
6,"[[0.         0.50020658 0.30306766 0.00749745 0.1892283 ]
 [0.27300234 0.         0.10714404 0.24943457 0.37041905]
 [0.31957284 0.13373056 0.         0.2202838  0.32641281]
 [0.1155461  0.15164278 0.26281871 0.         0.46999241]
 [0.03753616 0.33716914 0.4631676  0.1621271  0.        ]]",-11.357634311431163,0.1506040324897856
7,"[[0.         0.45085539 0.05092512 0.16896158 0.32925791]
 [0.02799746 0.         0.54443115 0.07007859 0.35749279]
 [0.35466439 0.17040016 0.         0.25945157 0.21548388]
 [0.09805985 0.14184044 0.50294766 0.         0.25715205]
 [0.19032458 0.09699166 0.10061344 0.09067712 0.        ]]",-11.470262229192006,0.00016427104722792606
8,"[[0.         0.33223962 0.46466307 0.05683224 0.14626507]
 [0.24323959 0.         0.37289463 0.25775412 0.12611166]
 [0.13282212 0.2432293  0.         0.34134661 0.28260196]
 [0.03227296 0.39261039 0.04983174 0.         0.52528491]
 [0.31824492 0.09852317 0.292554   0.29067791 0.        ]]",-11.413470181545339,0.03465866803091996
9,"[[0.         0.14586322 0.21441046 0.48811435 0.15161197]
 [0.42514608 0.         0.31232407 0.16093477 0.10159509]
 [0.45952712 0.38076312 0.         0.10654989 0.05315987]
 [0.06074343 0.15320928 0.38701476 0.         0.39903253]
 [0.08494312 0.2779119  0.32989641 0.30724858 0.        ]]",-11.359061355168397,0.16514202016945706
