iteration,test_acc,actions
0,0.249,"[[[0.00547747 0.00267695]
  [0.         0.00729883]]]"
1,0.27149999999999996,"[[[0.07606845 0.09563173]
  [0.         0.37356442]]]"
2,0.3105,"[[[0.07558849 0.09518795]
  [0.         0.37135744]]]"
3,0.39949999999999997,"[[[0.075128   0.09475803]
  [0.         0.36923382]]]"
4,0.36950000000000005,"[[[0.07466046 0.09432025]
  [0.         0.36707729]]]"
5,0.322,"[[[0.07418474 0.0938729 ]
  [0.         0.36488143]]]"
6,0.274,"[[[0.07368792 0.0934074 ]
  [0.         0.36259386]]]"
7,0.257,"[[[0.07317124 0.0929118 ]
  [0.         0.36019436]]]"
8,0.257,"[[[0.07259092 0.09236969]
  [0.         0.35753134]]]"
9,0.257,"[[[0.07193697 0.0917496 ]
  [0.         0.35451582]]]"
10,0.257,"[[[0.07119233 0.09102614]
  [0.         0.35105208]]]"
11,0.257,"[[[0.07018056 0.09005777]
  [0.         0.34638295]]]"
12,0.257,"[[[0.06878327 0.08875547]
  [0.         0.3400197 ]]]"
13,0.257,"[[[0.06663289 0.0867756 ]
  [0.         0.3303079 ]]]"
14,0.2775,"[[[0.06343542 0.08384591]
  [0.         0.31596366]]]"
15,0.46449999999999997,"[[[0.05929577 0.07964812]
  [0.         0.29669064]]]"
16,0.51,"[[[0.05548579 0.07553111]
  [0.         0.2785427 ]]]"
17,0.511,"[[[0.05375742 0.07180704]
  [0.         0.26661232]]]"
18,0.5409999999999999,"[[[0.052628   0.0686882 ]
  [0.         0.25744715]]]"
19,0.5615,"[[[0.05219252 0.06588142]
  [0.         0.2506915 ]]]"
20,0.478,"[[[0.05024181 0.06240054]
  [0.         0.23870476]]]"
21,0.5255000000000001,"[[[0.04953317 0.0601716 ]
  [0.         0.23241615]]]"
22,0.5085,"[[[0.05402689 0.06375097]
  [0.         0.25113711]]]"
23,0.526,"[[[0.04797933 0.07099109]
  [0.         0.25017485]]]"
24,0.4915,"[[[0.04852631 0.05944005]
  [0.         0.22837928]]]"
25,0.4775,"[[[0.04972109 0.06935166]
  [0.         0.25134069]]]"
26,0.5965,"[[[0.04793336 0.05762848]
  [0.         0.22322841]]]"
27,0.5249999999999999,"[[[0.0469659  0.05683494]
  [0.         0.21917425]]]"
28,0.4775,"[[[0.04651342 0.05858525]
  [0.         0.22154789]]]"
29,0.5409999999999999,"[[[0.05143686 0.07017384]
  [0.         0.25737795]]]"
30,0.5349999999999999,"[[[0.05501208 0.06345025]
  [0.         0.25308672]]]"
31,0.5660000000000001,"[[[0.04598436 0.05535997]
  [0.         0.21371831]]]"
32,0.5225,"[[[0.05781472 0.06114473]
  [0.         0.25583658]]]"
33,0.5605,"[[[0.05208535 0.06942251]
  [0.         0.25753063]]]"
34,0.617,"[[[0.04781005 0.05678146]
  [0.         0.22121221]]]"
35,0.5655,"[[[0.04111093 0.0480496 ]
  [0.         0.18670975]]]"
36,0.544,"[[[0.04406092 0.06016526]
  [0.         0.21852559]]]"
37,0.5720000000000001,"[[[0.04669594 0.05264615]
  [0.         0.21007164]]]"
38,0.5655,"[[[0.04831729 0.06172243]
  [0.         0.23243722]]]"
39,0.5535,"[[[0.05294484 0.05820428]
  [0.         0.23724318]]]"
40,0.6625,"[[[0.05093078 0.05950581]
  [0.         0.23465534]]]"
41,0.5745,"[[[0.03994316 0.04908278]
  [0.         0.18586175]]]"
42,0.659,"[[[0.05323236 0.05844708]
  [0.         0.23847333]]]"
43,0.6379999999999999,"[[[0.04103322 0.04890738]
  [0.         0.18824214]]]"
44,0.6605,"[[[0.03756434 0.04876396]
  [0.         0.17927141]]]"
45,0.544,"[[[0.0357448  0.04514372]
  [0.         0.16743676]]]"
46,0.577,"[[[0.03962388 0.04904412]
  [0.         0.18498422]]]"
47,0.643,"[[[0.0341996  0.04570863]
  [0.         0.16473189]]]"
48,0.7035,"[[[0.03536591 0.04246775]
  [0.         0.16109614]]]"
49,0.6475,"[[[0.03297964 0.03938824]
  [0.         0.14895378]]]"
50,0.6285000000000001,"[[[0.03970997 0.04304981]
  [0.         0.17312849]]]"
51,0.692,"[[[0.0356252  0.04882524]
  [0.         0.17455858]]]"
52,0.6890000000000001,"[[[0.03480661 0.04063495]
  [0.         0.15600763]]]"
53,0.633,"[[[0.03254113 0.03790452]
  [0.         0.14487199]]]"
54,0.6605,"[[[0.03524773 0.04278675]
  [0.         0.16144554]]]"
55,0.6775,"[[[0.0347576  0.0408527 ]
  [0.         0.15632495]]]"
56,0.704,"[[[0.0329095  0.04032422]
  [0.         0.15066855]]]"
57,0.635,"[[[0.03223528 0.03845351]
  [0.         0.1452215 ]]]"
58,0.727,"[[[0.03657246 0.04436661]
  [0.         0.16793108]]]"
59,0.6785,"[[[0.03114162 0.0361971 ]
  [0.         0.13795814]]]"
60,0.7264999999999999,"[[[0.03340282 0.03750541]
  [0.         0.14620598]]]"
61,0.7255,"[[[0.03143885 0.03777454]
  [0.         0.14187798]]]"
62,0.726,"[[[0.03040202 0.03657322]
  [0.         0.13688706]]]"
63,0.69,"[[[0.03232787 0.03708283]
  [0.         0.14268516]]]"
64,0.728,"[[[0.03242087 0.04225699]
  [0.         0.1533563 ]]]"
65,0.7090000000000001,"[[[0.03337733 0.03739994]
  [0.         0.14592996]]]"
66,0.718,"[[[0.03042733 0.03722059]
  [0.         0.13825648]]]"
67,0.7115,"[[[0.03124765 0.03607024]
  [0.         0.13796468]]]"
68,0.731,"[[[0.03165267 0.03568729]
  [0.         0.13819546]]]"
69,0.7110000000000001,"[[[0.03077596 0.03933019]
  [0.         0.14337681]]]"
70,0.7384999999999999,"[[[0.03238408 0.03766603]
  [0.         0.14400129]]]"
71,0.7255,"[[[0.03005009 0.03757248]
  [0.         0.13803385]]]"
72,0.7444999999999999,"[[[0.02945898 0.03510751]
  [0.         0.13159673]]]"
73,0.7045,"[[[0.02889412 0.03446825]
  [0.         0.12891072]]]"
74,0.7005,"[[[0.03172254 0.03809186]
  [0.         0.14322107]]]"
75,0.7225,"[[[0.03285982 0.03869142]
  [0.         0.1472504 ]]]"
76,0.734,"[[[0.03153729 0.03636673]
  [0.         0.13928045]]]"
77,0.742,"[[[0.02978291 0.03590289]
  [0.         0.13400303]]]"
78,0.7605,"[[[0.02916352 0.0340343 ]
  [0.         0.12870002]]]"
79,0.7565,"[[[0.02853845 0.03462837]
  [0.         0.12835583]]]"
80,0.7444999999999999,"[[[0.0290311  0.03423132]
  [0.         0.12877068]]]"
81,0.7535000000000001,"[[[0.03051979 0.03492787]
  [0.         0.13385725]]]"
82,0.755,"[[[0.02934832 0.03533849]
  [0.         0.13178962]]]"
83,0.7575000000000001,"[[[0.02880227 0.03723995]
  [0.         0.134279  ]]]"
84,0.709,"[[[0.03034783 0.03478276]
  [0.         0.13313885]]]"
85,0.7430000000000001,"[[[0.03400571 0.03741157]
  [0.         0.14751582]]]"
86,0.752,"[[[0.02842803 0.03780303]
  [0.         0.13449053]]]"
87,0.752,"[[[0.03063734 0.0358579 ]
  [0.         0.13602526]]]"
88,0.7335,"[[[0.02814782 0.0339513 ]
  [0.         0.12602465]]]"
89,0.745,"[[[0.02872919 0.03512131]
  [0.         0.12982199]]]"
90,0.747,"[[[0.02759016 0.03456778]
  [0.         0.12589353]]]"
91,0.7615000000000001,"[[[0.02803407 0.03350681]
  [0.         0.12484647]]]"
92,0.7384999999999999,"[[[0.02753139 0.03582746]
  [0.         0.12829112]]]"
93,0.7655000000000001,"[[[0.02980776 0.03667604]
  [0.         0.13562526]]]"
94,0.775,"[[[0.02830132 0.03342418]
  [0.         0.12533914]]]"
95,0.7705,"[[[0.02625811 0.03314684]
  [0.         0.11974104]]]"
96,0.78,"[[[0.02855235 0.03315653]
  [0.         0.12541841]]]"
97,0.7635,"[[[0.0286195  0.03405637]
  [0.         0.12740104]]]"
98,0.7735,"[[[0.02690465 0.03222531]
  [0.         0.11947353]]]"
99,0.7284999999999999,"[[[0.02703839 0.0341741 ]
  [0.         0.12373804]]]"
100,0.782,"[[[0.02813411 0.03699441]
  [0.         0.13213342]]]"
101,0.768,"[[[0.02605122 0.03256965]
  [0.         0.11806602]]]"
102,0.782,"[[[0.02751208 0.03345362]
  [0.         0.12345142]]]"
103,0.7735,"[[[0.02541956 0.03206298]
  [0.         0.11548746]]]"
104,0.784,"[[[0.02853751 0.03403227]
  [0.         0.12714992]]]"
105,0.784,"[[[0.02561115 0.03252943]
  [0.         0.11690094]]]"
106,0.7869999999999999,"[[[0.02621171 0.03157131]
  [0.         0.1164454 ]]]"
107,0.776,"[[[0.02453131 0.03058987]
  [0.         0.11032692]]]"
108,0.794,"[[[0.02670178 0.03263385]
  [0.         0.11979849]]]"
