Method_name,Model_name,Dataset_name,Num_agents,Graph_connectivity,Labels_per_agent,Partition_name,Data_size,Seed
DPFL,CNN,CIFAR10,5,100,1,by_labels,0.1,42
DSpodFL,CNN,CIFAR10,5,100,1,by_labels,0.1,42
PureLocal,CNN,CIFAR10,5,100,1,by_labels,0.1,42
DPFL,CNN,CIFAR10,5,100,1,by_labels,0.2,42
DSpodFL,CNN,CIFAR10,5,100,1,by_labels,0.2,42
PureLocal,CNN,CIFAR10,5,100,1,by_labels,0.2,42
DPFL,CNN,CIFAR10,5,100,2,by_labels,0.1,42
DSpodFL,CNN,CIFAR10,5,100,2,by_labels,0.1,42
PureLocal,CNN,CIFAR10,5,100,2,by_labels,0.1,42
DPFL,CNN,CIFAR10,5,100,2,by_labels,0.2,42
DSpodFL,CNN,CIFAR10,5,100,2,by_labels,0.2,42
PureLocal,CNN,CIFAR10,5,100,2,by_labels,0.2,42
DPFL,CNN,CIFAR10,5,100,10,by_labels,0.1,42
DSpodFL,CNN,CIFAR10,5,100,10,by_labels,0.1,42
PureLocal,CNN,CIFAR10,5,100,10,by_labels,0.1,42
DPFL,CNN,CIFAR10,5,100,10,by_labels,0.2,42
DSpodFL,CNN,CIFAR10,5,100,10,by_labels,0.2,42
PureLocal,CNN,CIFAR10,5,100,10,by_labels,0.2,42
